Title,UUID,Release_Time,Duration,Director,Producer,Issurer,Type_Series,Actress,Magnet,Img_URL
C-2371 AV監督×素人妻 合コン2018・秋の陣 番外編 人妻漫遊記,C-2371, 2019-03-26, 160分鐘,高橋浩一,ゴーゴーズ,GoGo’sCore,AV監督×素人妻合コン,[],"['magnet:?xt=urn:btih:852B482A6BCB6D5A67AFB4ECA68BEE8ADFFD10CB&dn=C-2371.mp4', 'magnet:?xt=urn:btih:5B4912BA3A6C6742BB7DA03524D42460FF861722&dn=%5B7sht.me%5Dc-2371']",https://pics.javbus.com/cover/724u_b.jpg
KTRA-109 真性Mっ子美少女 特濃種汁中出し 富田優衣,KTRA-109, 2019-03-26, 125分鐘,ケー・トライブ,K-Tribe,エッチ倶楽部,,['富田優衣'],"['magnet:?xt=urn:btih:15F54B4095C180D26939E85B5EA5AF105AD3BAA9&dn=KTRA-109.mp4', 'magnet:?xt=urn:btih:E1C9E84FCC7E05BEEF4AAFEB7D2C710DD3BAED5A&dn=%5B7sht.me%5Dktra-109']",https://pics.javbus.com/cover/724z_b.jpg
KTRA-110 変態ドMな制服美少女 汚部屋de調教 若本あん,KTRA-110, 2019-03-26, 115分鐘,ケー・トライブ,K-Tribe,シークレットラブ,,['若本あん'],"['magnet:?xt=urn:btih:F31A799D9257DA7C928AE4D3DA382EB11F79BFB6&dn=KTRA-110.mp4', 'magnet:?xt=urn:btih:F1C18F6C9B696B61E44ECCAC7945A8F0BEEB6FBB&dn=%5B7sht.me%5Dktra-110']",https://pics.javbus.com/cover/7252_b.jpg
AKID-063 女子大生限定 飲み会後、部屋にお持ち帰り盗撮 そして黙ってAVへ no.27 年上お嬢様女子大生編 えいみ/Gカップ/21才 まい/Gカップ/21才,AKID-063, 2019-03-25, 210分鐘,お持ち帰り/妄想族,お持ち帰り,合コン後、お持ち帰り盗撮そして黙ってAVへ,,[],"['magnet:?xt=urn:btih:9FA01A26C6F24F1A0592A2D27E698D0C9CED8D83&dn=AKID-063', 'magnet:?xt=urn:btih:30DB0CB85195AACFD6FAB3D4508FEE588745D82C&dn=AKID-063+++AV+no.27++G21+G21.mp4']",https://pics.javbus.com/cover/70ig_b.jpg
NSPS-789 嫌いな男に何度もイカされる屈辱 おもらしづま 竹内麻耶,NSPS-789, 2019-03-25, 126分鐘,富丈太郎,ながえスタイル,ながえSTYLE,,['竹内麻耶'],"['magnet:?xt=urn:btih:C6703210921A6D0C22AA9D8CAA5680DA9E919FBE&dn=nsps-789.mp4', 'magnet:?xt=urn:btih:D381E9B6626B6E00F2363EBACED5EB261F32C2BC&dn=NSPS-789+++.mp4']",https://pics.javbus.com/cover/70ka_b.jpg
CESD-734 自宅で売春する淫乱三姉妹の性接待が凄すぎる件 大槻ひびき 波多野結衣 推川ゆうり,CESD-734, 2019-03-25, 162分鐘,セレブの友,セレブの友,,多P,"['大槻ひびき', '波多野結衣', '推川ゆうり']","['magnet:?xt=urn:btih:E031CD2878E7F2D1D75B87139B698356D9283852&dn=cesd-734.mp4', 'magnet:?xt=urn:btih:3156A2F47A09C2C17555585027A45215081D8468&dn=CESD-734++++.mp4', 'magnet:?xt=urn:btih:6C9D30784F0D7A18D79AE45DBBA347B891E458D0&dn=CESD734mp4']",https://pics.javbus.com/cover/70mk_b.jpg
OKAX-486 顔は地味、浮気経験無し、C級ブサカワ人妻、なぜか男がハマっちゃう最高なスケベボディ4時間,OKAX-486, 2019-03-22, 239分鐘,ディック万毒,ケイ・エム・プロデュース,おかず。,,[],"['magnet:?xt=urn:btih:A2DB8B6B51A9745931AD47CDE8262CD5D21185E3&dn=OKAX-486', 'magnet:?xt=urn:btih:BD1C5B7145590DBBB03DE0E852E6B0C21BFE472D&dn=OKAX-486+C4.mp4']",https://pics.javbus.com/cover/711f_b.jpg
MMGH-159 りか（22）、ひかり（20） マジックミラー号 素人女子大生限定100の質問中に突然デカチンを即ハメ！恥じらいつつも連続ピストンでオマ○コぐちょ濡れ大絶頂！おまけに大洪水！,MMGH-159, 2019-03-22, 52分鐘,小松（17）,SODクリエイト,マジックミラー号,推しっ子じっくり！ミラー号,[],"['magnet:?xt=urn:btih:D11DA9B1F102D6808C1B11E356524582C6792507&dn=320MMGH-159.HD', 'magnet:?xt=urn:btih:F8EFB85FD29FE65CE9F495C8B29CBEA932FE8D0F&dn=MMGH-159.mp4']",https://pics.javbus.com/cover/71oi_b.jpg
SABA-513 地味だけどエロイ！すぐにイクイク！全身性感帯！S級素人出演！！SUPER MEMORIAL BEST 4時間,SABA-513, 2019-03-22, 240分鐘,TODO,S級素人,S級素人,地味だけどエロイ！すぐにイクイク！全身性感帯！S級素人出演,[],"['magnet:?xt=urn:btih:504C2C6AC66D32DEC529A52BE94AB33F98F86584&dn=saba-513', 'magnet:?xt=urn:btih:F952088694E178061E05F3C79986A3D7F5482998&dn=SABA-513+SSUPER+MEMORIAL+BEST+4.mp4']",https://pics.javbus.com/cover/70wn_b.jpg
VRTM-416 水泳部所属の姉の競泳水着姿にフル勃起した弟がコッソリ媚薬を飲ませると超敏感なカラダに！拒む姉をよそに子宮奥に突き刺さる終わりなき超絶ハードピストンで死ぬほど強制仰け反り絶頂！2,VRTM-416, 2019-03-22, 130分鐘,細川ケン,V＆RPRODUCE,V＆RPRODUCE,水泳部所属の姉の競泳水着姿にフル勃起した弟がコッソリ媚薬を飲ませると超敏感なカラダに！,"['波多野結衣', '大槻ひびき', '水原乃亜']","['magnet:?xt=urn:btih:3FC3A1AD90BC70CE7C085F2D1DB9F008F4C0892A&dn=VRTM-416+2.mp4', 'magnet:?xt=urn:btih:A05C5EB776B9EAF3F3D8E17691AC678B95021F6B&dn=hjd2048.com-0327vrtm416-h264']",https://pics.javbus.com/cover/70ww_b.jpg
